Date,ONDS,NVDA,NOK,F,AES,PLUG,NFLX,PLTR,INTC,MARA,AAL,SOFI,VG,NIO,TSLA,NU,CCL,RIG,NCLH,OXY,PBR,CRCL,BMNR,AAOI,IBRX,AMD,AMZN,XOM,MU,IREN,ITUB,SOUN,OPEN,CRWV,HOOD,AG,PSLV,AAPL,MSFT,WULF,SMCI,JOBY,BAC,AGNC,SMR,PFE,SNAP,RKT,PSKY,OWL,ACHR,BBD,STLA,SLB,HIMS,RGTI,GRAB,GOOGL,MSTR,BTE,SNDK,NVO,T,QBTS,U,ORCL,C,DNN,LYG,IONQ,RKLB,WBD,HL,CIFR,AXTI,SAN,B,CDE,CVE,PATH,BP,KTOS,EXK,CVX,RUN,CLSK,APLD,DHT,PYPL,GLW,CPNG,DVN,VZ,XYZ,BTG,AVGO,HAL,PBR-A,NVTS,RIVN,FRO,BCS,CNQ,COP,ADT,FSLY,NBIS,GOOG,EQNR,ET,NKE,FCX,UBER,DOW,CMG,WMT
2021-03-02,204200,264116000,29041800,104789000,5638100,24729900,30422000,73997000,23320000,17302500,27558200,3809000,,161334000,71196600,,49295000,25347400,18481000,16557000,86987600,,,1585500,1901800,34828200,51916000,30302600,18679600,,101140719,,7770400,,,6133100,9627200,102260900,22812500,13200,2531000,3687000,41167400,7540000,,27670400,18762200,376559100,14417500,295200,6971800,45053000,5049100,13582700,1989700,,295000,25564000,6440000,798000,,985200,47299370,469000,3534400,13282000,19200600,51575400,5976500,830100,10932300,7497700,14945400,255800,404400,6538000,25720900,4227500,6676300,,10630400,982700,4688700,10643500,3578000,1813800,,3047400,8484900,3859400,,10517000,17184600,17345800,8990200,18546000,9704600,22941000,,,1283500,3841700,6649977,7741100,7964500,7861200,,22692000,2492500,14826100,5292700,21625500,15199500,7316000,12900000,29230800
2021-03-03,407000,377592000,41330300,80169700,6996900,26227000,53624000,79046200,28740400,18558700,49301300,7175500,,107863400,90624000,,71576000,37169600,31491600,20382100,107820600,,,1044200,1062900,43541000,79774000,35358900,26424100,,132924689,,9921000,,,5620400,7120300,112966300,34029500,11500,2916000,5735600,66047000,6339400,,46020200,22914600,178101400,17460100,267900,8058900,52323700,3698500,20695600,2297700,,361400,33892000,7721000,312100,,1504000,75820581,811400,4663000,15827600,25157600,55733000,13526700,1067100,5236700,6310500,13162800,261100,462000,9207000,21362600,5334700,9080500,,20420600,869500,5373700,14958200,6057400,1477100,,2742200,10841800,4567900,,13706100,22838700,12151700,10229900,23991000,12317100,28121700,,,2264900,5608100,9653759,8007500,7396100,8502500,,29684000,4499200,17524300,4888400,18613200,28485400,5390300,15030000,41837400
2021-03-04,1185100,573344000,77661700,88339600,18935500,49365800,50348000,161611200,40210400,20974700,61124200,15322900,,205872700,197758500,,74016500,48563500,38134000,39491600,75285600,,,1238400,1586000,60549400,109632000,52137500,31971100,,109160204,,17343100,,,8907200,9374400,178155000,44727800,27000,2857000,4705100,96512800,14462600,,45449600,25453800,67277800,21489300,719100,7791500,49306500,2805400,21586700,2585000,,296700,49216000,12206000,1179800,,3482400,80437237,747400,7662100,19951100,28518400,33041200,18401400,1296400,6856200,9367400,14666800,450100,832100,9104300,28469200,7410400,21203800,,21228900,1823400,6615500,22994200,7357300,2645300,,3683800,18878800,6818000,,19432600,23692000,18496000,11785400,34575000,17516100,17309900,,,2840000,6575400,15205549,15181000,5731700,7918200,,42360000,5846200,26258800,7181500,38045300,27409600,6050400,25350000,45348000
2021-03-05,1071700,542840000,60969100,79345700,10636900,50280500,50700000,173468600,39511700,24275700,63183900,18226600,,270803200,268189500,,83747400,46265900,96474600,42026500,58628900,,,1237400,1343800,58548900,107772000,51429800,30329100,,91580887,,38129700,,,7927800,7180600,153766600,41872800,18600,3309000,4121700,74292300,13894700,,30589900,28930700,35128700,14159000,819400,6525100,40884100,4183700,26809000,3723400,,282700,53100000,13548000,1587600,,2645800,77737336,451900,8271100,34211500,25406800,27881600,9464300,959800,3702600,9083200,12425900,9790100,877500,10480800,20863100,5674200,14815100,,21166300,3312600,5454700,23638200,8662800,2816600,,4091400,16830200,3875300,,25108200,23598100,24773600,7411100,42414000,16439000,16039500,,,2507200,147611900,14255815,18699600,6352300,7989200,,43904000,4276000,31112700,5957100,31507000,31576200,3883800,26765000,34073700
2021-03-08,1040700,543112000,44731700,86129700,8455700,26054900,39818000,94432800,33112400,16352300,39776900,7871800,,143074800,155361000,,48007700,32298200,42512100,22684800,60985600,,,636800,1297000,54563900,83700000,38154600,22708300,,101520446,,12985600,,,4821700,5013200,154376600,35267400,2700,3371000,2313400,65335500,9818600,,24352300,26807600,28848000,21341100,240700,3610000,38971500,3591500,14971200,1572200,,84300,36868000,6721000,770600,,2133000,74116593,261200,5240500,23300500,27351100,16006600,9091200,5674000,2489200,9097700,7162300,2268000,544800,7996100,14384800,4191500,15723600,,14731100,1945200,3473800,18033600,5529200,1099600,,2635400,13340300,3550000,,22490300,23648800,13488100,6366800,45243000,14469600,18135500,,,1885100,9763200,9538999,11283400,9136200,5634000,,32948000,3646100,20036800,4983000,24959400,19912100,4437600,16680000,40988400
2021-03-09,484000,521824000,28745800,61568700,6344100,34205100,34700000,99586500,36387500,27885100,39820400,8573200,,176602600,202569900,,42549100,19729100,27304100,23868200,57849800,,,810600,1108700,45088300,80600000,35645900,22301400,,81078402,,10265600,,,5053500,10113600,129525800,33080500,9100,3133000,2745000,63946000,6355900,,25167100,20761000,31961400,23611600,247600,3284200,31166900,4089800,20585200,2047700,,217800,33920000,8736000,642800,,2942600,63488580,171300,5728300,17296400,24194900,16661300,5872500,2175400,1773500,16965800,8965200,1839000,571400,8097300,19423900,4361900,10916500,,12226600,1436500,3897300,19010700,7416600,1832000,,2707600,12071200,4267700,,11746000,20956400,14495500,7707600,37884000,11555600,14072400,,,1647700,9080000,8507585,10193200,3692100,5442700,,33946000,2939100,17986500,5977800,24411800,17192900,5823200,26455000,31988700
2021-03-10,286400,384376000,48054800,62111200,6912000,30457500,37715000,103212800,27160300,24032800,44224900,7508200,,190801800,181817100,,41997600,76237400,23061600,24101800,52459300,,,821900,956500,45416600,60250000,31579100,23407800,,104971799,,8091100,,,3639000,4249200,111943300,29746800,35100,2794000,2205000,53365600,5597300,,33501800,19773700,42862200,22506900,383000,3258000,57858500,3408400,18685600,2294400,,1445700,27100000,6430000,486000,,1646200,57977033,248400,4251300,21378600,21331100,14276500,4028500,2130500,2066300,12316200,8361000,1673600,688400,4198700,16621900,4689300,8896800,,12277400,1199300,3987500,17389900,8936800,1534400,,4166500,9508000,4538600,,16969700,18848600,12973100,7074300,19914000,8827100,14981200,,,2442200,5903100,5751089,12002400,4480200,4179100,,25372000,2628700,29404900,4519600,20367800,27997000,4238500,14490000,44929200
2021-03-11,404600,299916000,47804000,56536500,4632800,27986700,47145000,84788700,30701800,19389200,39002400,4959600,,134788000,108761700,,33297300,25651800,20189400,21984300,51723400,,,646900,1735400,43583700,55528000,24802600,20716500,,71650230,,9513900,,,4124000,4392300,103026500,29907600,7300,2684000,1626100,45834000,8740100,,24557900,22780000,17125100,22371000,770500,3503100,50420500,4068600,13239500,2034900,,6065400,27702000,5285000,855700,,1285400,48327854,359800,5078600,38095400,17499200,13704300,4860800,1644300,1985600,11952600,8785200,4377600,745800,3584800,14448800,3601100,8918900,,9835600,1166900,2591100,10989500,6526000,2428900,,3022800,9234200,5959600,91584100.0,13936600,30312900,11728000,6429300,26170000,9177800,13386900,,,2619600,7120300,5356574,9328100,5463000,5255800,,24782000,1833200,18076500,5696500,25590500,17293800,3651800,16370000,35489700
2021-03-12,278800,243964000,42936700,87160100,3393000,21471000,39817000,58721900,20173000,15683400,55260300,2859100,,113460100,100751400,,32490600,18892900,22756900,16114000,25990100,,,516300,1161500,32938000,48438000,20422700,21916400,,49886356,,7782200,,,3819800,4439200,88105100,22653700,36100,2376000,829200,46069600,9452500,,16342400,23441300,10730500,38020400,242800,2019700,21688100,5921200,12829500,1872200,,2107200,33818000,4676000,241200,,1419600,92827229,124400,2846800,11606300,17210600,20691100,8961600,1135900,1250000,15747600,6692400,1753400,974300,5183400,12741900,2915800,6699100,,8777400,824200,3302100,10930300,5103500,1284000,,2019600,7609700,7048400,30521000.0,9798700,22002400,8850100,5689000,18906000,7245300,7570200,,,1722700,6286200,13284844,6758400,2607800,3423900,,34516000,1335100,11891100,4143200,19752500,14839300,2690800,10495000,28437600
2021-03-15,294500,221988000,59527500,64476000,4334700,17340100,34843000,56101500,21247400,15997600,93746800,3515900,,74013600,88006800,,53480800,20139100,26593300,19532800,23119000,,,595500,805600,39086800,58272000,31243600,16144400,,53841950,,9930800,,,4440400,7746100,92403800,26034900,26300,2706000,1070900,50131600,7901600,,21896100,16832100,13113600,32035400,302000,2066200,18398900,5831200,7888000,1913100,,1163600,26168000,4375000,865300,,1223400,56121050,218800,4021600,8919600,18918100,69956100,7259300,1467500,1102500,11184200,8398900,1148000,1103400,4288500,16161100,3396000,6653400,,13034900,861200,10011200,10488000,3860400,1797300,,3571300,7052100,8360700,17387800.0,10401800,18970600,8867200,5313000,31241000,8136400,9413700,,,3262700,9050300,5149924,9825200,3140300,2896100,,25962000,3303000,17093100,5413900,18329100,14985000,5353300,9875000,25071900
