Date,NVDA,ONDS,FIG,AVDL,INTC,BTG,PLUG,AAL,SMCI,OWL,IBRX,TSLA,KLAR,PLTR,RIG,F,OXY,WMT,BAC,HIMS,SOFI,NOK,MPT,OPEN,AMZN,SNAP,LYG,CDE,AG,DNN,RELY,PSLV,PFE,IREN,RGTI,AMD,MU,BBD,BMNR,MSFT,MARA,PINS,DASH,RIVN,ACHR,CPNG,GRAB,BTE,WULF,NU,FSLY,T,HBAN,HL,SNDK,GOOGL,NFLX,CVNA,SMR,VZ,QBTS,AAPL,PATH,KVUE,HOOD,NGD,ET,CLSK,CIFR,TTD,EBAY,NIO,AUR,USAR,NBIS,CCL,UBER,COLD,RKLB,JBLU,HLN,XOM,SO,ETSY,IONQ,ABEV,STLA,APLD,PYPL,PANW,CNH,KGC,INFY,AEG,CORT,RIOT,ORCL,HST,PBR,EQT,PCG,OMC,CSCO,VALE,OBDC,FCX,LYFT,W,ARCC,CWAN,AVGO,CLF,SLB,DVN,CTRA,QS,MSTR,BKD,GOOG,NCLH
2021-02-23,391780000,1485000,,646774.0,27374600,11521200,48792800,78817600,6735000,779500,4153900,199820700,,145289400,41888400,72904500,22587700,31300200,67440700,3987800,12561900,68365800,2443200,13132500,93544000,76106300,8192500,5272900,9163500,59491000,,15332400,37624200,,,49720900,23203200,35863600,,30228700,31753900,20293600,3005400,,9883700,,173000,574800,53300,,8653900,62175305,12933400,12316600,,34658000,41365000,1694400,,21062000,849300,158273000,,,,11012200,33326900,3272900,87000,14834000,5826500,142544300,,,,115819500,23947500,2118800,162600,15476200,,33527900,3990600,3646100,379700,26068200,3246600,,20440300,17139000,2409568,21720200,8335700,1945400,685500,52317000,18175400,11145100,121505800,6878300,13112800,1714300,19714900,32639600,1294100,26070200,5851700,2380100,2563400,,21303000,21764600,13549000,17987000,5205000,23201600,18755000,2779300,33348000,23482000
2021-02-24,448320000,508200,,428103.0,24669900,8238900,30004300,74610200,3126000,331100,1610800,110301000,,90095700,31044300,95152800,27789000,46565700,58139500,3517100,7947300,77998700,2228900,9311000,60226000,40732300,6200200,5561200,8264800,34645700,,12634100,30686100,,,40821200,21281700,31894400,,26339700,26775000,8856400,1984000,,5600300,,159400,1966100,20600,,5049200,45852636,11288600,14815000,,22608000,32450000,1108400,,17136900,297600,111039900,,,,8077100,48879500,1351900,138200,6837000,8050000,82488600,,,,92985300,24627000,911600,104000,13941300,,28728600,5076900,2179000,7375300,15062600,2075900,,10840000,11208600,2309490,16603500,8022800,2072200,518100,33336900,10609300,9530100,63580700,5112800,16186900,1363700,17823600,20345600,1691800,25156600,6370900,1724100,3084900,,15125000,24003100,21674000,15609200,9807400,13065900,12005000,3875000,24966000,38000400
2021-02-25,824436000,695900,,561936.0,36394000,9267400,38222500,65571000,2807000,224100,1300400,117071700,,161776400,50028700,75249400,21142500,33324600,74762000,2932900,7962300,121260400,2534200,11185900,90676000,25413600,10454200,4932200,8866700,42181000,,12217300,37506100,,,54625100,22546200,32032200,,39542200,23955600,11514400,4005800,,6416300,,230800,1420200,16700,,4519000,77501929,11290300,13488100,,41548000,42529000,1620800,,24165300,524200,148199500,,,,9182100,32203600,1723100,140200,7966000,7868300,95513800,,,,71020500,27049100,1765800,130800,9857900,,29670900,4064300,3698700,2067400,34126600,2157400,,13403300,8323200,2343500,17871100,7412800,2967600,1039400,23574600,15356100,9062000,63403900,4940100,23817000,2457900,21916700,31641600,1285300,25657100,7030300,5948000,2875800,,23148000,35541800,20387400,17195300,8331100,17334400,7841000,5219700,36568000,41465800
2021-02-26,500932000,495400,,517449.0,38216800,14834200,55079400,42397300,3533000,427700,1405900,123267600,,119588600,28719600,69614500,21626700,42470700,70933300,2334100,9106700,69186700,3077200,9631000,85518000,29438400,6681600,5729700,11243700,39403200,,12639100,41462800,,,48962900,22787600,38318400,,37819200,21127500,14156100,7579900,,6431700,,168600,1308300,9500,,4058400,102619798,16143500,11698100,,40042000,37556000,3312300,,23935200,964500,164560400,,,,12653400,31287400,1604500,95900,9060000,9014000,100315500,,,,58092900,16349800,1387800,150000,8001000,,35291000,6092400,11049000,1714800,38830800,2814400,,11915200,10263600,2643045,26431100,7422400,2238400,788100,23843600,20512600,9523600,60631600,4949900,14149800,1812500,22144900,30064700,1126000,37782500,4477400,3928300,1899200,,22640000,100863000,22478700,16250100,5675000,11148200,11784000,3302700,41670000,19787200
2021-03-01,353184000,251200,,885737.0,28495400,11936200,27516100,45406100,2218000,276100,717100,81408600,,85059900,37951000,43172800,16185700,34634400,45901700,1640500,4422200,40902400,4324800,6673200,54582000,22141100,3629300,4508600,8584800,23786000,,17655300,30407800,,,32746200,19908900,36645700,,25324000,22963800,8099100,4143200,,4048000,,146600,732200,23800,,3282900,58790102,9398800,11594000,,26060000,30414000,2522000,,20550400,604300,116307900,,,,10348400,25343200,1905100,220600,5125000,6153700,94238500,,,,59643100,18481100,1743500,40481700,7700500,,36998300,3210700,6681200,959500,18560700,3961800,,10558500,5628600,4491441,23257400,7592500,1585500,660400,26614500,11758900,7182300,60675100,6779100,16394800,1359800,17394100,34783500,1252900,21582800,4094700,6508300,2401200,,24677000,19857300,17121600,11829700,6303200,6070600,7608000,2614500,28090000,23206300
2021-03-02,264116000,204200,,484045.0,23320000,8990200,24729900,27558200,2531000,295200,1901800,71196600,,73997000,25347400,104789000,16557000,29230800,41167400,1989700,3809000,29041800,3248800,7770400,51916000,18762200,5976500,4227500,6133100,51575400,,9627200,27670400,,,34828200,18679600,45053000,,22812500,17302500,8978800,5311700,,6971800,,295000,798000,13200,,7861200,47299370,9216000,14945400,,25564000,30422000,1669900,,17184600,469000,102260900,,,,7474400,14826100,1813800,255800,4627000,7646700,161334000,,,,49295000,15199500,1703400,10932300,4913300,,30302600,3574200,3690900,830100,48285800,5049100,,8484900,8070000,3621533,18406200,10306600,2054900,627000,23546300,13282000,6756600,86987600,4190200,11072900,1237300,14833000,36881000,1426500,21625500,3845300,2166100,2104200,,18546000,22679100,13582700,10517000,4787800,7662700,6440000,2276900,22692000,18481000
2021-03-03,377592000,407000,,402748.0,28740400,10229900,26227000,49301300,2916000,267900,1062900,90624000,,79046200,37169600,80169700,20382100,41837400,66047000,2297700,7175500,41330300,3820700,9921000,79774000,22914600,13526700,5334700,5620400,55733000,,7120300,46020200,,,43541000,26424100,52323700,,34029500,18558700,13224600,4070500,,8058900,,361400,312100,11500,,8502500,75820581,10601900,13162800,,33892000,53624000,2001300,,22838700,811400,112966300,,,,8527000,17524300,1477100,261100,18668000,11055500,107863400,,,,71576000,28485400,1418100,5236700,8838700,,35358900,3859400,7227300,1067100,50174100,3698500,,10841800,7876200,3856159,18981900,22911800,2667700,602900,21775400,15827600,7864800,107820600,4901300,12404200,1753100,16851100,42451000,1343800,18613200,23938800,1738000,2545100,,23991000,18371900,20695600,13706100,4702200,11447000,7721000,2315200,29684000,31491600
2021-03-04,573344000,1185100,,579542.0,40210400,11785400,49365800,61124200,2857000,719100,1586000,197758500,,161611200,48563500,88339600,39491600,45348000,96512800,2585000,15322900,77661700,4821600,17343100,109632000,25453800,18401400,7410400,8907200,33041200,,9374400,45449600,,,60549400,31971100,49306500,,44727800,20974700,22917400,4366800,,7791500,,296700,1179800,27000,,7918200,80437237,15837300,14666800,,49216000,50348000,2445300,,23692000,747400,178155000,,,,9658700,26258800,2645300,450100,21327000,9940400,205872700,,,,74016500,27409600,2347700,6856200,10587200,,52137500,4843400,6511400,1296400,56229900,2805400,,18878800,7279200,6399700,18850800,11867600,3871900,1044200,20168800,19951100,10261800,75285600,7885900,11703700,2047600,24653500,37424400,1529900,38045300,13491600,2094900,2811100,,34575000,23573100,21586700,19432600,7940900,15508500,12206000,2365700,42360000,38134000
2021-03-05,542840000,1071700,,482572.0,39511700,7411100,50280500,63183900,3309000,819400,1343800,268189500,,173468600,46265900,79345700,42026500,34073700,74292300,3723400,18226600,60969100,3860700,38129700,107772000,28930700,9464300,5674200,7927800,27881600,,7180600,30589900,,,58548900,30329100,40884100,,41872800,24275700,22084600,6175800,,6525100,,282700,1587600,18600,,7989200,77737336,11112700,12425900,,53100000,50700000,2729400,,23598100,451900,153766600,,,,8752300,31112700,2816600,9790100,30282000,8395000,270803200,,,,83747400,31576200,1743700,3702600,13585200,,51429800,4435200,5644800,959800,39866600,4183700,,16830200,8323800,4146396,18051300,8946500,3661000,727000,27668300,34211500,6983500,58628900,7308200,20816600,1633400,33197600,40994500,1221300,31507000,14017600,3576300,2676200,,42414000,25153000,26809000,25108200,6253800,16592400,13548000,1434200,43904000,96474600
2021-03-08,543112000,1040700,,507309.0,33112400,6366800,26054900,39776900,3371000,240700,1297000,155361000,,94432800,32298200,86129700,22684800,40988400,65335500,1572200,7871800,44731700,3027500,12985600,83700000,26807600,9091200,4191500,4821700,16006600,,5013200,24352300,,,54563900,22708300,38971500,,35267400,16352300,15086500,6886100,,3610000,,84300,770600,2700,,5634000,74116593,10834600,7162300,,36868000,39818000,2004800,,23648800,261200,154376600,,,,7669100,20036800,1099600,2268000,24636000,7622100,143074800,,,,48007700,19912100,1893300,2489200,15703100,,38154600,7440100,3910100,5674000,40346200,3591500,,13340300,7585200,5491875,13765600,8450900,4152000,502800,17403000,23300500,6725300,60985600,6401400,17458100,1976000,34824500,47401300,1537700,24959400,8828300,2686800,2509500,,45243000,18743700,14971200,22490300,7262700,10180800,6721000,2034800,32948000,42512100
