,turnover
2023-03-31,1.0
2023-04-28,0.0
2023-05-31,0.0
2023-06-30,0.0
2023-07-31,0.0
2023-08-31,0.0
2023-09-29,0.0
2023-10-31,0.0
2023-11-30,0.0
2023-12-29,0.0
2024-01-31,0.24000000000000002
2024-02-29,0.0
2024-03-28,0.0
2024-04-30,0.0
2024-05-31,0.0
2024-06-28,0.0
2024-07-31,0.0
2024-08-30,0.0
2024-09-30,0.0
2024-10-31,0.0
2024-11-29,0.0
2024-12-31,0.0
2025-01-31,0.36000000000000004
2025-02-28,0.0
2025-03-31,0.0
2025-04-30,0.0
2025-05-30,0.0
2025-06-30,0.0
2025-07-31,0.0
2025-08-29,0.0
2025-09-30,0.0
2025-10-31,0.0
2025-11-28,0.0
2025-12-31,0.0
2026-01-30,0.44000000000000006
