,SPY
2023-04-03,10000000.0
2023-04-04,9944518.201780831
2023-04-05,9918480.421178976
2023-04-06,9957171.918230917
2023-04-10,9967392.938068746
2023-04-11,9970068.827382512
2023-04-12,9929431.019121334
2023-04-13,10061321.501444034
2023-04-14,10036744.416245548
2023-04-17,10072757.715192255
2023-04-18,10079329.305313123
2023-04-19,10077625.417208238
2023-04-20,10022630.773989247
2023-04-21,10030417.558020508
2023-04-24,10040879.461768376
2023-04-25,9881494.351426229
2023-04-26,9839639.040463187
2023-04-27,10035527.683140844
2023-04-28,10121183.07708185
2023-05-01,10110962.82684118
2023-05-02,9997324.110686233
2023-05-03,9928699.90182249
2023-05-04,9858377.192033961
2023-05-05,10040879.461768376
2023-05-08,10043557.659873612
2023-05-09,9999513.61459698
2023-05-10,10046235.088381693
2023-05-11,10028714.43951278
2023-05-12,10015573.56806252
2023-05-15,10050129.249994477
2023-05-16,9982966.506131265
2023-05-17,10104148.044018801
2023-05-18,10201483.614006698
2023-05-19,10186639.62404871
2023-05-22,10190776.978363007
2023-05-23,10076407.144909218
2023-05-24,10003406.237015452
2023-05-25,10090034.4017625
2023-05-26,10220708.150980493
2023-05-30,10224600.773398966
2023-05-31,10167903.01167225
2023-06-01,10264509.003555615
2023-06-02,10412945.055149715
2023-06-05,10392991.709668549
2023-06-06,10415620.944463484
2023-06-07,10379609.184711091
2023-06-08,10442389.072767027
2023-06-09,10461126.454740645
2023-06-12,10556029.328116285
2023-06-13,10625623.22939744
2023-06-14,10638276.945847526
2023-06-15,10770166.65857307
2023-06-16,10733479.962114273
2023-06-20,10677794.220648585
2023-06-21,10623083.558780406
2023-06-22,10661430.276306158
2023-06-23,10580828.82689305
2023-06-26,10537597.476213869
2023-06-27,10653126.322985614
2023-06-28,10658498.11113922
2023-06-29,10700508.111130754
2023-06-30,10826781.303806867
2023-07-03,10839238.772981998
2023-07-05,10823118.021341084
2023-07-06,10738366.134462014
2023-07-07,10711254.765826592
2023-07-10,10738366.134462014
2023-07-11,10806753.3074015
2023-07-12,10893704.702954352
2023-07-13,10980165.865118401
2023-07-14,10973327.22478417
2023-07-17,11011428.440816939
2023-07-18,11093249.701723382
2023-07-19,11117919.908177825
2023-07-20,11044157.868696105
2023-07-21,11044157.868696105
2023-07-24,11093493.664022049
2023-07-25,11123781.160123076
2023-07-26,11125491.205005214
2023-07-27,11051729.165523494
2023-07-28,11159929.138572203
2023-07-31,11181177.716068057
2023-08-01,11149182.483876362
2023-08-02,10994087.87768269
2023-08-03,10962580.570088329
2023-08-04,10913000.042866562
2023-08-07,11008253.852545647
2023-08-08,10960381.831011703
2023-08-09,10887110.024918787
2023-08-10,10891018.039280394
2023-08-11,10884666.553946337
2023-08-14,10944750.543162433
2023-08-15,10817256.76939583
2023-08-16,10737877.440267526
2023-08-17,10656056.179361083
2023-08-18,10661185.544410335
2023-08-21,10730550.875335958
2023-08-22,10701486.26911689
2023-08-23,10820675.31996579
2023-08-24,10670711.618015684
2023-08-25,10745937.431289403
2023-08-28,10814082.181124538
2023-08-29,10970396.598811543
2023-08-30,11015581.18707437
2023-08-31,10999461.974627767
2023-09-01,11019977.895630466
2023-09-05,10972349.836395187
2023-09-06,10898588.566510625
2023-09-07,10865128.790929774
2023-09-08,10881491.965675043
2023-09-11,10953054.49648298
2023-09-12,10892971.276864039
2023-09-13,10905672.70833784
2023-09-14,10999705.936926434
2023-09-15,10867178.228158005
2023-09-18,10873551.262212448
2023-09-19,10851001.295924652
2023-09-20,10751243.034087537
2023-09-21,10573543.050610788
2023-09-22,10549768.655246716
2023-09-25,10594132.852940528
2023-09-26,10438491.063168459
2023-09-27,10442656.892577551
2023-09-28,10503197.252907557
2023-09-29,10477708.19507841
2023-10-02,10473540.056877848
2023-10-03,10333341.003651662
2023-10-04,10408589.904840082
2023-10-05,10404666.498535343
2023-10-06,10528199.155736526
2023-10-09,10595602.013912624
2023-10-10,10650750.57656295
2023-10-11,10694379.039374977
2023-10-12,10629181.07705276
2023-10-13,10576240.48864494
2023-10-16,10687516.541528886
2023-10-17,10687026.308140084
2023-10-18,10544620.050268548
2023-10-19,10451970.557367658
2023-10-20,10323537.105472751
2023-10-23,10305644.741177164
2023-10-24,10383341.730920974
2023-10-25,10234317.707099171
2023-10-26,10111766.28627275
2023-10-27,10065933.697204
2023-10-30,10186279.452579385
2023-10-31,10250250.677033858
2023-11-01,10359567.335556906
2023-11-02,10558101.853259217
2023-11-03,10654427.711777553
2023-11-06,10678937.842023406
2023-11-07,10709330.003337743
2023-11-08,10717172.96796144
2023-11-09,10633593.947149146
2023-11-10,10799528.329294616
2023-11-13,10789234.197726902
2023-11-14,10998553.080385732
2023-11-15,11021838.011958154
2023-11-16,11035318.275754511
2023-11-17,11049044.810641004
2023-11-20,11134096.070814021
2023-11-21,11109830.672463993
2023-11-22,11152724.939588547
2023-11-24,11159585.898240322
2023-11-27,11139488.638090858
2023-11-28,11150517.734943198
2023-11-29,11142674.000722343
2023-11-30,11186547.965027351
2023-12-01,11252725.624530016
2023-12-04,11193656.733963577
2023-12-05,11191449.529318227
2023-12-06,11146351.905534104
2023-12-07,11231403.16570712
2023-12-08,11279689.230511356
2023-12-11,11323562.425219206
2023-12-12,11375279.35414791
2023-12-13,11532144.803399095
2023-12-14,11569156.269858012
2023-12-15,11550107.20103594
2023-12-18,11615076.593002623
2023-12-19,11685707.141653823
2023-12-20,11523775.434320232
2023-12-21,11633043.608222406
2023-12-22,11656421.661050789
2023-12-26,11705640.477608915
2023-12-27,11726806.708209008
2023-12-28,11731236.509442842
2023-12-29,11697273.417321524
2024-01-02,11631811.483174568
2024-01-03,11536818.566931594
2024-01-04,11499656.25942997
2024-01-05,11515407.60443568
2024-01-08,11679801.253073484
2024-01-09,11662082.817735305
2024-01-10,11728035.754868222
2024-01-11,11722868.679558292
2024-01-12,11730990.238352705
2024-01-16,11687922.811867896
2024-01-17,11622952.650304057
2024-01-18,11726314.166028734
2024-01-19,11872495.297953771
2024-01-22,11897598.787607424
2024-01-23,11932298.384207683
2024-01-24,11945341.516819045
2024-01-25,12010310.13918857
2024-01-26,11995052.875557449
2024-01-29,12090045.022203261
2024-01-30,12080695.186346794
2024-01-31,11883569.801038356
2024-02-01,12039103.84720849
2024-02-02,12165843.41576155
2024-02-05,12121546.942617526
2024-02-06,12156739.08139806
2024-02-07,12258130.428401643
2024-02-08,12263544.544398868
2024-02-09,12334422.133737361
2024-02-12,12329008.017740138
2024-02-13,12159198.7139108
2024-02-14,12269697.4736665
2024-02-15,12354354.7000953
2024-02-16,12292831.564196216
2024-02-20,12225154.729432344
2024-02-21,12236228.46291977
2024-02-22,12489462.868130066
2024-02-23,12498076.969104752
2024-02-26,12452301.330225596
2024-02-27,12475434.651158154
2024-02-28,12458946.801673505
2024-02-29,12503736.586594956
2024-03-01,12621124.010500075
2024-03-04,12607589.105305595
2024-03-05,12481586.810828634
2024-03-06,12544834.61395583
2024-03-07,12669360.05148913
2024-03-08,12593316.15643786
2024-03-11,12582487.924443413
2024-03-12,12717843.133165473
2024-03-13,12697908.258016067
2024-03-14,12672805.537959572
2024-03-15,12585786.417856932
2024-03-18,12660585.874305852
2024-03-19,12730942.446369275
2024-03-20,12848693.120132346
2024-03-21,12891157.18244632
2024-03-22,12866717.085541723
2024-03-25,12831167.853680493
2024-03-26,12807469.648434935
2024-03-27,12915100.889184859
2024-03-28,12912633.560700553
2024-04-01,12890169.019697146
2024-04-02,12808210.000899658
2024-04-03,12822281.315312343
2024-04-04,12665770.650350384
2024-04-05,12798088.259095041
2024-04-08,12805245.512652138
2024-04-09,12820060.257918173
2024-04-10,12691689.912990114
2024-04-11,12787473.97511015
2024-04-12,12610967.636823406
2024-04-15,12452975.497334845
2024-04-16,12430264.685241304
2024-04-17,12356698.123437382
2024-04-18,12331271.402977927
2024-04-19,12223640.162228001
2024-04-22,12336209.907932322
2024-04-23,12482599.600686818
2024-04-24,12476674.472177563
2024-04-25,12429276.522492131
2024-04-26,12547030.27464383
2024-04-29,12591465.275276052
2024-04-30,12392001.084208475
2024-05-01,12351761.927274454
2024-05-02,12467292.313240511
2024-05-03,12621830.500689905
2024-05-06,12752173.323130528
2024-05-07,12766243.098348899
2024-05-08,12767477.532188209
2024-05-09,12841041.785200661
2024-05-10,12857582.736889124
2024-05-13,12859310.482505864
2024-05-14,12918310.109328201
2024-05-15,13078278.57431511
2024-05-16,13051370.37932905
2024-05-17,13070130.079620212
2024-05-20,13085189.55678207
2024-05-21,13117280.219021194
2024-05-22,13079509.929765794
2024-05-23,12983978.295513147
2024-05-24,13069883.808530075
2024-05-28,13079015.848391207
2024-05-29,12987432.247552315
2024-05-30,12901275.84586231
2024-05-31,13018781.018132402
2024-06-03,13029399.919700233
2024-06-04,13043963.77629319
2024-06-05,13198992.966728544
2024-06-06,13198746.695638409
2024-06-07,13182702.134116005
2024-06-10,13223430.75484167
2024-06-11,13255279.763573598
2024-06-12,13364142.359774202
2024-06-13,13391053.633148888
2024-06-14,13399200.588649474
2024-06-17,13505843.666650223
2024-06-18,13540155.386283517
2024-06-20,13503373.259777289
2024-06-21,13485269.256263617
2024-06-24,13441436.080607913
2024-06-25,13493197.646171704
2024-06-26,13510036.4319598
2024-06-27,13531334.263673682
2024-06-28,13478087.375597505
2024-07-01,13505828.27470709
2024-07-02,13596716.159716344
2024-07-03,13657395.81713171
2024-07-05,13736150.233368794
2024-07-08,13752000.856407715
2024-07-09,13765371.837407826
2024-07-10,13901584.377362425
2024-07-11,13781716.541821335
2024-07-12,13868648.69744527
2024-07-15,13906786.85414156
2024-07-16,13989258.424645394
2024-07-17,13793111.197323095
2024-07-18,13687113.04173964
2024-07-19,13596220.539147446
2024-07-22,13736398.043653244
2024-07-23,13714852.40165491
2024-07-24,13404036.737182032
2024-07-25,13334197.334407896
2024-07-26,13483539.201855406
2024-07-29,13491462.974180555
2024-07-30,13423105.815530179
2024-07-31,13641294.305419711
2024-08-01,13448122.340705125
2024-08-02,13197740.062557476
2024-08-05,12813372.458626648
2024-08-06,12931508.700565215
2024-08-07,12845070.626315866
2024-08-08,13142013.532442482
2024-08-09,13199967.276728898
2024-08-12,13206902.886304872
2024-08-13,13424095.517473664
2024-08-14,13466449.527394233
2024-08-15,13697268.645819152
2024-08-16,13727977.111564882
2024-08-19,13859233.445830481
2024-08-20,13836698.10188866
2024-08-21,13884248.431811115
2024-08-22,13775279.631202886
2024-08-23,13921646.236042682
2024-08-26,13888458.128258139
2024-08-27,13907528.745800598
2024-08-28,13826793.386482226
2024-08-29,13828030.898710161
2024-08-30,13960033.742217736
2024-09-03,13672749.28040742
2024-09-04,13644762.110207697
2024-09-05,13611577.08081178
2024-09-06,13382492.634378014
2024-09-09,13532323.96561717
2024-09-10,13591268.951041384
2024-09-11,13730699.946305208
2024-09-12,13846359.624593586
2024-09-13,13918672.512629282
2024-09-16,13939228.452684127
2024-09-17,13944923.471643537
2024-09-18,13903566.859638024
2024-09-19,14140822.888681388
2024-09-20,14116377.404596696
2024-09-23,14151654.199064463
2024-09-24,14192147.323060187
2024-09-25,14160844.728309501
2024-09-26,14216988.38008341
2024-09-27,14196370.87225603
2024-09-30,14253257.954883289
2024-10-01,14125569.473036049
2024-10-02,14131533.851000296
2024-10-03,14105698.474450646
2024-10-04,14233881.037672473
2024-10-07,14105199.775493119
