,rebalance_date,ticker,weight
0,2023-03-31,TSLA,0.02
1,2023-03-31,AAPL,0.02
2,2023-03-31,AMZN,0.02
3,2023-03-31,NVDA,0.02
4,2023-03-31,MSFT,0.02
5,2023-03-31,AMD,0.02
6,2023-03-31,META,0.02
7,2023-03-31,GOOGL,0.02
8,2023-03-31,NFLX,0.02
9,2023-03-31,GOOG,0.02
10,2023-03-31,BABA,0.02
11,2023-03-31,XOM,0.02
12,2023-03-31,CVX,0.02
13,2023-03-31,DIS,0.02
14,2023-03-31,CRM,0.02
15,2023-03-31,JPM,0.02
16,2023-03-31,BAC,0.02
17,2023-03-31,AVGO,0.02
18,2023-03-31,TSM,0.02
19,2023-03-31,PYPL,0.02
20,2023-03-31,INTC,0.02
21,2023-03-31,PFE,0.02
22,2023-03-31,QCOM,0.02
23,2023-03-31,MRK,0.02
24,2023-03-31,VZ,0.02
25,2023-03-31,WMT,0.02
26,2023-03-31,NKE,0.02
27,2023-03-31,MU,0.02
28,2023-03-31,CSCO,0.02
29,2023-03-31,C,0.02
30,2023-03-31,SHOP,0.02
31,2023-03-31,XYZ,0.02
32,2023-03-31,OXY,0.02
33,2023-03-31,CMCSA,0.02
34,2023-03-31,WFC,0.02
35,2023-03-31,PEP,0.02
36,2023-03-31,SNOW,0.02
37,2023-03-31,KO,0.02
38,2023-03-31,COIN,0.02
39,2023-03-31,T,0.02
40,2023-03-31,CVS,0.02
41,2023-03-31,INTU,0.02
42,2023-03-31,LRCX,0.02
43,2023-03-31,F,0.02
44,2023-03-31,SBUX,0.02
45,2023-03-31,BMY,0.02
46,2023-03-31,NOW,0.02
47,2023-03-31,MS,0.02
48,2023-03-31,NIO,0.02
49,2023-03-31,SCHW,0.02
50,2023-04-28,TSLA,0.02
51,2023-04-28,AAPL,0.02
52,2023-04-28,AMZN,0.02
53,2023-04-28,NVDA,0.02
54,2023-04-28,MSFT,0.02
55,2023-04-28,AMD,0.02
56,2023-04-28,META,0.02
57,2023-04-28,GOOGL,0.02
58,2023-04-28,NFLX,0.02
59,2023-04-28,GOOG,0.02
