,cost
2023-03-31,10000.000000000333
2023-04-28,7970.592109472869
2023-05-31,8411.206733226481
2023-06-30,8598.605833863723
2023-07-31,8499.688784512617
2023-08-31,7889.3891023707865
2023-09-29,10807.32760677435
2023-10-31,10895.408771069475
2023-11-30,9215.561624554262
2023-12-29,7653.102484886354
2024-01-31,10292.42469507795
2024-02-29,9265.622761078495
2024-03-28,10993.889059681147
2024-04-30,7768.9364106344065
2024-05-31,12337.929646173898
2024-06-28,12522.088754858141
2024-07-31,11138.684108331117
2024-08-30,12848.533489028021
2024-09-30,9061.534890985877
2024-10-31,9731.601665695316
2024-11-29,18258.281012758856
2024-12-31,4903.015740380599
2025-01-31,21191.9739052998
2025-02-28,16176.962501482509
2025-03-31,13710.209855322806
2025-04-30,7759.285721720666
2025-05-30,16009.205345799377
2025-06-30,9887.877911158894
2025-07-31,8730.656274936739
2025-08-29,13941.878445017719
2025-09-30,18389.775689362195
2025-10-31,9188.352374147862
2025-11-28,12608.642964491944
2025-12-31,19741.359919830647
2026-01-30,22722.977414273988
