,cost
2023-03-31,5322.318969795937
2023-04-28,4443.041808674177
2023-05-31,5314.009745051636
2023-06-30,6145.2837499196785
2023-07-31,6776.31875058877
2023-08-31,8234.782935639096
2023-09-29,4757.408929170251
2023-10-31,3574.8600925883106
2023-11-30,4556.405916262847
2023-12-29,6152.128307903018
2024-01-31,9932.911375431537
2024-02-29,8073.503723132622
2024-03-28,9900.610909149385
2024-04-30,8148.902362205828
2024-05-31,6882.387641338119
2024-06-28,6442.264079907578
2024-07-31,8107.165503980943
2024-08-30,9258.025709577945
2024-09-30,6180.734647485895
2024-10-31,7443.477597713763
2024-11-29,8432.87780148231
2024-12-31,8924.882279341602
2025-01-31,10544.498598626553
2025-02-28,9881.473476581876
2025-03-31,6542.864523547201
2025-04-30,4309.619019270847
2025-05-30,3238.172537052358
2025-06-30,6009.183799301474
2025-07-31,12959.13146766841
2025-08-29,13981.533792267659
2025-09-30,15603.719583594768
2025-10-31,11371.736708480652
2025-11-28,12386.762858645461
2025-12-31,10464.576220637491
2026-01-30,11123.107907443471
