gamma,lambda,vol,finalV,err
15.0,0.0003727593720314938,0.23312772102440404,26433585.805615652,0.08312772102440405
16.0,0.0003727593720314938,0.2282573507608664,26359314.722983636,0.0782573507608664
17.0,0.0003727593720314938,0.22349434368577176,26224273.85166925,0.07349434368577176
18.0,0.0003727593720314938,0.21912515935285445,25855215.896760575,0.06912515935285446
19.0,0.0003727593720314938,0.21508442217837637,25572956.70002704,0.06508442217837637
20.0,0.0003727593720314938,0.2111400613533777,25143128.33196889,0.06114006135337771
21.0,0.0003727593720314938,0.20714445223260947,24753061.310036253,0.05714445223260947
22.0,0.0003727593720314938,0.2033100961214467,24390714.334656052,0.053310096121446715
23.0,0.0003727593720314938,0.19956737669321598,23928440.57393441,0.04956737669321598
24.0,0.0003727593720314938,0.1958979101304744,23512900.96635828,0.045897910130474395
25.0,0.0003727593720314938,0.19226741149680088,23137709.523586154,0.04226741149680088
