gamma,lambda,vol,finalV,err
35.0,0.0013894954943731374,0.16058561260159496,20286344.174709294,0.010585612601594963
36.0,0.0013894954943731374,0.15812637160099757,20075969.213542625,0.008126371600997578
37.0,0.0013894954943731374,0.15577084323980556,19882853.867463376,0.005770843239805562
38.0,0.0013894954943731374,0.153506090516791,19669065.004348423,0.003506090516791016
39.0,0.0013894954943731374,0.1512788411996636,19482208.507863633,0.001278841199663594
40.0,0.0013894954943731374,0.14883262552808363,19305373.40011695,0.001167374471916366
41.0,0.0013894954943731374,0.14647964841576394,19142400.859710865,0.0035203515842360533
42.0,0.0013894954943731374,0.14413651118540177,18961284.670231584,0.005863488814598222
43.0,0.0013894954943731374,0.1419079883193135,18772949.486196995,0.00809201168068649
44.0,0.0013894954943731374,0.1397514033805668,18601848.283164486,0.010248596619433198
45.0,0.0013894954943731374,0.13765989889674937,18423550.19065345,0.012340101103250622
