,strategy_risk
2023-04-03,9976771.394380376
2023-04-04,9998315.802386709
2023-04-05,9930393.91476459
2023-04-06,9959695.46083244
2023-04-10,9970506.271272514
2023-04-11,9925198.18760511
2023-04-12,9837026.136860609
2023-04-13,9897649.985401377
2023-04-14,9877039.660055263
2023-04-17,9929638.540909434
2023-04-18,9942081.996069219
2023-04-19,9938005.925468983
2023-04-20,9826551.777070398
2023-04-21,9804115.509446494
2023-04-24,9783537.925012292
2023-04-25,9706709.47309556
2023-04-26,9698691.535853075
2023-04-27,9797644.946306424
2023-04-28,9868441.876125349
2023-05-01,9882651.001666276
2023-05-02,9847285.473252771
2023-05-03,9827164.535769286
2023-05-04,9808646.875309268
2023-05-05,9921794.925048918
2023-05-08,9943149.941176567
2023-05-09,9922224.262906156
2023-05-10,9960884.35949883
2023-05-11,9963506.03862284
2023-05-12,9962678.577281693
2023-05-15,9966700.039642831
2023-05-16,9968618.720622916
2023-05-17,10007438.262614535
2023-05-18,10097442.137352932
2023-05-19,10082160.347129902
2023-05-22,10062381.782530278
2023-05-23,10007184.3831821
2023-05-24,10007993.335931934
2023-05-25,10220514.213002639
2023-05-26,10282019.485190677
2023-05-30,10307077.290630307
2023-05-31,10256880.767096078
2023-06-01,10386456.378558105
2023-06-02,10435060.657141509
2023-06-05,10431615.203147385
2023-06-06,10490114.391573312
2023-06-07,10347826.059529308
2023-06-08,10462312.91588217
2023-06-09,10524677.791359195
2023-06-12,10742731.023928253
2023-06-13,10809497.171568658
2023-06-14,11013394.851843778
2023-06-15,11035687.251273684
2023-06-16,10988244.245762015
2023-06-20,10938280.162254559
2023-06-21,10869281.160171075
2023-06-22,10928199.372958077
2023-06-23,10824971.542899538
2023-06-26,10725822.981802115
2023-06-27,10824640.864030857
2023-06-28,10837338.870223343
2023-06-29,10815471.324680911
2023-06-30,10926739.634661736
2023-07-03,10934525.959452908
2023-07-05,10949499.182907918
2023-07-06,10776681.075322721
2023-07-07,10790219.320549555
2023-07-10,10798180.571591247
2023-07-11,10833959.775499694
2023-07-12,10880717.30272734
2023-07-13,10971464.533894083
2023-07-14,10906663.197446143
2023-07-17,11006273.959959555
2023-07-18,11128166.774847629
2023-07-19,11122719.057223093
2023-07-20,10970586.821325175
2023-07-21,11033615.434875146
2023-07-24,11079643.89850633
2023-07-25,11082048.937088016
2023-07-26,11091361.333732372
2023-07-27,10930687.139977623
2023-07-28,11083112.162487695
2023-07-31,11257456.249688067
2023-08-01,11038228.61099338
2023-08-02,10815501.626102218
2023-08-03,10823032.85431409
2023-08-04,10697805.144175055
2023-08-07,10785525.836006187
2023-08-08,10757271.444335138
2023-08-09,10474399.123138318
2023-08-10,10470921.230384901
2023-08-11,10346820.316627098
2023-08-14,10455607.211989334
2023-08-15,10319512.84444502
2023-08-16,10251995.256004794
2023-08-17,10176245.9503664
2023-08-18,10148659.231984327
2023-08-21,10292634.604660435
2023-08-22,10206851.60728082
2023-08-23,10442117.156962486
2023-08-24,10237852.481667262
2023-08-25,10276608.3154865
2023-08-28,10350673.6337331
2023-08-29,10677157.79481804
2023-08-30,10739403.38743804
2023-08-31,10729541.707559321
2023-09-01,10807410.192499012
2023-09-05,10812306.274506854
2023-09-06,10817706.025374202
2023-09-07,10792343.828921841
2023-09-08,10800594.152912
2023-09-11,10854356.459269555
2023-09-12,10871774.39640739
2023-09-13,10850952.027860962
2023-09-14,10995329.549674034
2023-09-15,10862263.321690993
2023-09-18,10884863.227059066
2023-09-19,10789272.189479575
2023-09-20,10694044.362149265
2023-09-21,10472514.446475819
2023-09-22,10459477.338227548
2023-09-25,10523092.06106883
2023-09-26,10407396.278055446
2023-09-27,10561580.547722481
2023-09-28,10603767.585694553
2023-09-29,10505719.229507089
2023-10-02,10458369.746007027
2023-10-03,10381318.85546621
2023-10-04,10360432.863498976
2023-10-05,10195117.561291771
2023-10-06,10267452.416145965
2023-10-09,10423648.465812225
2023-10-10,10461601.025106626
2023-10-11,10470893.552118085
2023-10-12,10467705.133288473
2023-10-13,10520431.902171144
2023-10-16,10569817.024212098
2023-10-17,10612115.708367778
2023-10-18,10562208.06283719
2023-10-19,10497181.900528342
2023-10-20,10402418.289817745
2023-10-23,10381249.189809734
2023-10-24,10386342.640298571
2023-10-25,10297977.097739538
2023-10-26,10110488.888699368
2023-10-27,10112956.601157092
2023-10-30,10139404.298788553
2023-10-31,10181182.534134885
2023-11-01,10225787.248950059
2023-11-02,10274755.081513792
2023-11-03,10287265.99513173
2023-11-06,10282222.912124965
2023-11-07,10289540.962557038
2023-11-08,10243526.483442381
2023-11-09,10247102.272040302
2023-11-10,10284355.23940549
2023-11-13,10294578.173969116
2023-11-14,10330315.550499408
2023-11-15,10355227.455826784
2023-11-16,10320504.13522702
2023-11-17,10346123.865288647
2023-11-20,10382483.846629905
2023-11-21,10369035.024482721
2023-11-22,10370377.652865998
2023-11-24,10385046.745327577
2023-11-27,10386032.574516715
2023-11-28,10412649.169476325
2023-11-29,10397568.231574578
2023-11-30,10419376.445888963
2023-12-01,10500625.824536195
2023-12-04,10488259.699664306
2023-12-05,10515377.545875436
2023-12-06,10432681.809951298
2023-12-07,10487236.547455683
2023-12-08,10614000.964852024
2023-12-11,10602099.106965246
2023-12-12,10597042.376216473
2023-12-13,10764025.669963045
2023-12-14,10808981.220400568
2023-12-15,10780821.48943886
2023-12-18,10845889.481853912
2023-12-19,10976929.594882846
2023-12-20,10900051.032755734
2023-12-21,11015212.147235606
2023-12-22,11098055.84420674
2023-12-26,11148238.40185855
2023-12-27,11245864.372727884
2023-12-28,11238155.687139614
2023-12-29,11161786.154960712
2024-01-02,10850302.183524461
2024-01-03,10703578.681899367
2024-01-04,10735913.466585957
2024-01-05,10762151.290370133
2024-01-08,10985488.629302273
2024-01-09,10881079.056734726
2024-01-10,10877749.677608626
2024-01-11,10799973.1445713
2024-01-12,10726269.394973755
2024-01-16,10571310.210768806
2024-01-17,10486611.565804867
2024-01-18,10536233.434041345
2024-01-19,10687917.577556772
2024-01-22,10765924.600797612
2024-01-23,10838091.650551634
2024-01-24,10853189.828640284
2024-01-25,10891199.13118879
2024-01-26,10805159.970386231
2024-01-29,11039005.283694956
2024-01-30,11012184.868113574
2024-01-31,10848814.896256575
2024-02-01,11024020.541949505
2024-02-02,11097480.49008455
2024-02-05,11113424.141203498
2024-02-06,11094207.190840418
2024-02-07,11227477.541328294
2024-02-08,11263361.910838617
2024-02-09,11376589.31712778
2024-02-12,11427492.294937735
2024-02-13,11325869.742966825
2024-02-14,11820743.92812791
2024-02-15,11970795.691897035
2024-02-16,11751897.807915831
2024-02-20,11559832.208214473
2024-02-21,11458121.372044634
2024-02-22,11997219.666650718
2024-02-23,11984946.409257287
2024-02-26,12035891.259426055
2024-02-27,12117659.230246153
2024-02-28,12067615.256595824
2024-02-29,12214574.988608282
2024-03-01,12479152.180133728
2024-03-04,12895914.890968222
2024-03-05,12595928.525125302
2024-03-06,12867213.21827155
