,strategy_return
2023-04-03,9921698.32855092
2023-04-04,9884763.730991058
2023-04-05,9764436.029614301
2023-04-06,9807146.801912269
2023-04-10,9883315.563333081
2023-04-11,9920745.09249132
2023-04-12,9790177.406009885
2023-04-13,9884878.577909708
2023-04-14,9894122.806779843
2023-04-17,9898439.125918657
2023-04-18,9896385.880357124
2023-04-19,9836435.314040216
2023-04-20,9677283.673875082
2023-04-21,9651004.083850276
2023-04-24,9586156.643582221
2023-04-25,9467910.029959727
2023-04-26,9467866.147832554
2023-04-27,9581137.756344022
2023-04-28,9613435.993928429
2023-05-01,9587070.078207778
2023-05-02,9541668.937075298
2023-05-03,9474494.323846746
2023-05-04,9485214.878031598
2023-05-05,9723105.728148164
2023-05-08,9806729.407467922
2023-05-09,9840571.687733088
2023-05-10,9915799.252644923
2023-05-11,9922328.651058005
2023-05-12,9817787.396954302
2023-05-15,9914385.261555335
2023-05-16,9875413.504956389
2023-05-17,10063450.849091906
2023-05-18,10203889.328864658
2023-05-19,10145195.961119236
2023-05-22,10238480.10907168
2023-05-23,10168629.460273493
2023-05-24,10110873.403082045
2023-05-25,10299778.855973702
2023-05-26,10474021.543644326
2023-05-30,10582484.43882725
2023-05-31,10544978.519090028
2023-06-01,10643969.236170802
2023-06-02,10704071.507281173
2023-06-05,10692579.362644931
2023-06-06,10665945.009012762
2023-06-07,10615979.767418673
2023-06-08,10715170.24575186
2023-06-09,10747625.159152078
2023-06-12,10853138.507827194
2023-06-13,10960018.114821346
2023-06-14,11057285.580140041
2023-06-15,11124779.006360346
2023-06-16,11112057.80397245
2023-06-20,11111460.306134796
2023-06-21,10992597.42545995
2023-06-22,11004112.832707377
2023-06-23,10996576.739565687
2023-06-26,10920918.811325122
2023-06-27,11170155.46549254
2023-06-28,11232969.863829818
2023-06-29,11228603.267647922
2023-06-30,11324237.144738887
2023-07-03,11407945.438231004
2023-07-05,11410676.937759737
2023-07-06,11318931.920168802
2023-07-07,11367934.69305867
2023-07-10,11415850.77903934
2023-07-11,11499533.320740936
2023-07-12,11538758.05039809
2023-07-13,11663544.306117458
2023-07-14,11585016.437374245
2023-07-17,11692949.037743866
2023-07-18,11806599.89090258
2023-07-19,11807293.05461769
2023-07-20,11588093.036531907
2023-07-21,11554998.438651975
2023-07-24,11563943.677104317
2023-07-25,11563222.946230887
2023-07-26,11560038.405737704
2023-07-27,11510583.988923647
2023-07-28,11683128.078522228
2023-07-31,11815974.403937384
2023-08-01,11752214.513234362
2023-08-02,11560501.639511969
2023-08-03,11552035.455259584
2023-08-04,11493772.94944393
2023-08-07,11541000.747024124
2023-08-08,11470937.953543684
2023-08-09,11268094.635351216
2023-08-10,11262455.92858876
2023-08-11,11192065.045828506
2023-08-14,11278343.959098002
2023-08-15,11189136.2947563
2023-08-16,11118365.781227326
2023-08-17,11006546.622197982
2023-08-18,11012838.525206618
2023-08-21,11118457.431746632
2023-08-22,11084853.508994333
2023-08-23,11216646.780648932
2023-08-24,11045628.28828165
2023-08-25,11101852.673243696
2023-08-28,11136405.014178887
2023-08-29,11349714.838416051
2023-08-30,11417912.51839648
2023-08-31,11373097.93141865
2023-09-01,11359152.088910095
2023-09-05,11383022.578693736
2023-09-06,11350816.712958045
2023-09-07,11318317.287927762
2023-09-08,11317448.206790484
2023-09-11,11404874.412513088
