,rebalance_date,ticker,weight
0,2023-03-31,TSLA,0.02
1,2023-03-31,NVDA,0.02
2,2023-03-31,AAPL,0.02
3,2023-03-31,MSFT,0.02
4,2023-03-31,AMZN,0.02
5,2023-03-31,AMD,0.02
6,2023-03-31,GOOGL,0.02
7,2023-03-31,GOOG,0.02
8,2023-03-31,NFLX,0.02
9,2023-03-31,BABA,0.02
10,2023-03-31,XOM,0.02
11,2023-03-31,BAC,0.02
12,2023-03-31,CVX,0.02
13,2023-03-31,AVGO,0.02
14,2023-03-31,INTC,0.02
15,2023-03-31,COIN,0.02
16,2023-03-31,TSM,0.02
17,2023-03-31,XYZ,0.02
18,2023-03-31,PYPL,0.02
19,2023-03-31,PFE,0.02
20,2023-03-31,C,0.02
21,2023-03-31,WFC,0.02
22,2023-03-31,WMT,0.02
23,2023-03-31,MU,0.02
24,2023-03-31,CSCO,0.02
25,2023-03-31,F,0.02
26,2023-03-31,OXY,0.02
27,2023-03-31,VZ,0.02
28,2023-03-31,UBER,0.02
29,2023-03-31,NKE,0.02
30,2023-03-31,CMCSA,0.02
31,2023-03-31,COP,0.02
32,2023-03-31,ORCL,0.02
33,2023-03-31,T,0.02
34,2023-03-31,DVN,0.02
35,2023-03-31,FCX,0.02
36,2023-03-31,RIVN,0.02
37,2023-03-31,SLB,0.02
38,2023-03-31,RTX,0.02
39,2023-03-31,NIO,0.02
40,2023-03-31,CMG,0.02
41,2023-03-31,CCL,0.02
42,2023-03-31,VALE,0.02
43,2023-03-31,AAL,0.02
44,2023-03-31,BP,0.02
45,2023-03-31,U,0.02
46,2023-03-31,SNAP,0.02
47,2023-03-31,HAL,0.02
48,2023-03-31,B,0.02
49,2023-03-31,PLTR,0.02
50,2023-06-30,TSLA,0.02
51,2023-06-30,NVDA,0.02
52,2023-06-30,AAPL,0.02
53,2023-06-30,MSFT,0.02
54,2023-06-30,AMZN,0.02
55,2023-06-30,AMD,0.02
56,2023-06-30,GOOGL,0.02
57,2023-06-30,GOOG,0.02
58,2023-06-30,NFLX,0.02
59,2023-06-30,BABA,0.02
60,2023-06-30,XOM,0.02
61,2023-06-30,BAC,0.02
62,2023-06-30,CVX,0.02
63,2023-06-30,AVGO,0.02
64,2023-06-30,INTC,0.02
65,2023-06-30,COIN,0.02
66,2023-06-30,TSM,0.02
67,2023-06-30,XYZ,0.02
68,2023-06-30,PYPL,0.02
69,2023-06-30,PFE,0.02
70,2023-06-30,C,0.02
71,2023-06-30,WFC,0.02
72,2023-06-30,WMT,0.02
73,2023-06-30,MU,0.02
74,2023-06-30,CSCO,0.02
75,2023-06-30,F,0.02
76,2023-06-30,OXY,0.02
77,2023-06-30,VZ,0.02
78,2023-06-30,UBER,0.02
79,2023-06-30,NKE,0.02
80,2023-06-30,CMCSA,0.02
81,2023-06-30,COP,0.02
82,2023-06-30,ORCL,0.02
83,2023-06-30,T,0.02
84,2023-06-30,DVN,0.02
85,2023-06-30,FCX,0.02
86,2023-06-30,RIVN,0.02
87,2023-06-30,SLB,0.02
88,2023-06-30,RTX,0.02
89,2023-06-30,NIO,0.02
90,2023-06-30,CMG,0.02
91,2023-06-30,CCL,0.02
92,2023-06-30,VALE,0.02
93,2023-06-30,AAL,0.02
94,2023-06-30,BP,0.02
