,strategy_return
2023-04-03,9839090.726645822
2023-04-04,9777527.555663781
2023-04-05,9540309.221603362
2023-04-06,9577922.695726985
2023-04-10,9696182.745548468
2023-04-11,9692170.192445204
2023-04-12,9562957.595128668
2023-04-13,9711226.803863484
2023-04-14,9737893.34360097
2023-04-17,9752316.112415079
2023-04-18,9771923.43282421
2023-04-19,9694631.501383994
2023-04-20,9514596.666533295
2023-04-21,9483017.81035568
2023-04-24,9325276.134714065
2023-04-25,9114634.417906508
2023-04-26,9132455.76883239
2023-04-27,9454619.365266362
2023-04-28,9577914.202150714
2023-05-01,9607849.371234646
2023-05-02,9516130.794367962
2023-05-03,9391868.409362536
2023-05-04,9424043.274121435
2023-05-05,9612326.092131998
2023-05-08,9688814.429964729
2023-05-09,9636058.953862466
2023-05-10,9755806.628862455
2023-05-11,9755651.370509032
2023-05-12,9715312.688144188
2023-05-15,9814475.981899818
2023-05-16,9879202.08359098
2023-05-17,10001270.272098316
2023-05-18,10222907.242772272
2023-05-19,10171138.232420338
2023-05-22,10195434.758180717
2023-05-23,10067588.782168528
2023-05-24,10032664.086215265
2023-05-25,10460944.236433996
2023-05-26,10745101.331807809
2023-05-30,10779429.332775196
2023-05-31,10712976.098894352
2023-06-01,10796100.556898398
2023-06-02,10832770.405014634
2023-06-05,10849087.1341002
2023-06-06,10984653.372430593
2023-06-07,10628014.661860602
2023-06-08,10749295.99646243
2023-06-09,10854025.167141829
2023-06-12,11149977.905177092
2023-06-13,11141607.966624035
2023-06-14,11343705.948495716
2023-06-15,11410195.407397894
2023-06-16,11259742.199881189
2023-06-20,11279506.762588214
2023-06-21,11021148.865644585
2023-06-22,11123339.086006219
2023-06-23,11041325.80827534
2023-06-26,10826943.35046049
2023-06-27,11019225.28233183
2023-06-28,11060221.746198403
2023-06-29,11012715.68827517
2023-06-30,11187305.045630319
2023-07-03,11309124.755648887
2023-07-05,11306272.684135977
2023-07-06,11135326.287066735
2023-07-07,11115928.154531285
2023-07-10,11154830.618310567
2023-07-11,11237702.913300792
2023-07-12,11418042.376312833
2023-07-13,11791894.21808436
2023-07-14,11703715.131616408
2023-07-17,11835139.96231641
2023-07-18,11933156.616317345
2023-07-19,11951733.458141789
2023-07-20,11409452.838790178
2023-07-21,11327855.720407814
2023-07-24,11382748.501420537
2023-07-25,11434210.667537622
2023-07-26,11338155.530130671
2023-07-27,11313768.137414552
2023-07-28,11595379.732762719
2023-07-31,11683415.81992231
2023-08-01,11563434.990941498
2023-08-02,11127567.297267301
2023-08-03,11179974.267559223
2023-08-04,10958830.43849054
2023-08-07,11038403.45019254
2023-08-08,10870714.989219693
2023-08-09,10575575.872910034
2023-08-10,10569745.410550227
2023-08-11,10321086.663789438
2023-08-14,10444322.035838054
2023-08-15,10249407.181807404
2023-08-16,10075434.57018648
2023-08-17,9892614.646993913
2023-08-18,9784523.54562102
2023-08-21,10122892.459064862
2023-08-22,10033877.913848396
2023-08-23,10295332.640308583
2023-08-24,9997600.038019864
2023-08-25,10069179.823774446
2023-08-28,10150789.862558173
2023-08-29,10596833.180862369
2023-08-30,10612052.352623425
2023-08-31,10696446.258729136
2023-09-01,10667971.34696308
2023-09-05,10649373.030212643
2023-09-06,10573694.914661217
2023-09-07,10522361.979981586
2023-09-08,10479094.997799864
2023-09-11,10624920.054720124
2023-09-12,10577146.724305838
2023-09-13,10533198.482202293
2023-09-14,10694949.773424387
2023-09-15,10514258.797101842
2023-09-18,10437859.523072638
2023-09-19,10149387.397658272
2023-09-20,10021629.658048073
2023-09-21,9746274.69812436
2023-09-22,9707051.037545582
2023-09-25,9728360.680145275
2023-09-26,9586837.406225279
2023-09-27,9650746.522566825
2023-09-28,9856205.965616558
2023-09-29,9905244.960291369
2023-10-02,9915218.610064967
2023-10-03,9801182.88849515
2023-10-04,9802284.87660459
2023-10-05,9792805.635215651
2023-10-06,9971537.06239986
2023-10-09,10081466.995252822
2023-10-10,10119511.0095527
2023-10-11,10095917.089711443
2023-10-12,10021560.57673175
2023-10-13,9969399.395613177
2023-10-16,10083058.107133381
2023-10-17,10114171.646530513
