,strategy_risk
2023-04-03,10021857.688069157
2023-04-04,10022622.410417119
2023-04-05,10006153.031078441
2023-04-06,10014824.563574035
2023-04-10,10011763.00786316
2023-04-11,10000853.445485001
2023-04-12,9985915.185086528
2023-04-13,10027398.454569336
2023-04-14,10028452.863876816
2023-04-17,10028847.754411366
2023-04-18,10054021.73742815
2023-04-19,10056944.94476402
2023-04-20,9982410.886279956
2023-04-21,9986240.767754147
2023-04-24,9973930.519252487
2023-04-25,9945008.140223706
2023-04-26,9950536.958931316
2023-04-27,9996259.553363284
2023-04-28,10021867.400463372
2023-05-01,10043309.945335293
2023-05-02,10005571.983181465
2023-05-03,9992969.235753726
2023-05-04,9980718.358986583
2023-05-05,10059310.505702399
2023-05-08,10066183.043104257
2023-05-09,10040909.314282311
2023-05-10,10056695.791285211
2023-05-11,10037899.62880949
2023-05-12,10029758.918175237
2023-05-15,10045710.088264903
2023-05-16,10029913.113883287
2023-05-17,10061380.812443009
2023-05-18,10095889.955502361
2023-05-19,10085864.981545337
2023-05-22,10084257.75555932
2023-05-23,10055737.970557492
2023-05-24,10044555.174586836
2023-05-25,10184723.049552692
2023-05-26,10227640.20187689
2023-05-30,10259072.923639134
2023-05-31,10217375.89938066
2023-06-01,10287448.63779159
2023-06-02,10276382.231472218
2023-06-05,10270641.615316298
2023-06-06,10268292.227734422
2023-06-07,10254146.632749211
2023-06-08,10293451.659701584
2023-06-09,10296553.447782818
2023-06-12,10318090.303137282
2023-06-13,10344845.190642335
2023-06-14,10381185.31263662
2023-06-15,10387906.597582875
2023-06-16,10390932.260763166
2023-06-20,10394080.978035325
2023-06-21,10373285.40242818
2023-06-22,10392878.33411519
2023-06-23,10371550.026766203
2023-06-26,10345463.543757237
2023-06-27,10388012.724678412
2023-06-28,10381729.570249567
2023-06-29,10386043.664888088
2023-06-30,10440041.519904163
2023-07-03,10433824.195764806
2023-07-05,10438404.352495369
2023-07-06,10359620.84422908
2023-07-07,10358741.26927417
2023-07-10,10389934.880137121
2023-07-11,10411931.920318773
2023-07-12,10441193.256321827
2023-07-13,10459579.087346727
2023-07-14,10441522.42264661
2023-07-17,10514653.79041391
2023-07-18,10589804.76385767
2023-07-19,10575226.29874206
2023-07-20,10521389.137118394
2023-07-21,10537491.817386953
2023-07-24,10546001.299632605
2023-07-25,10544131.455993539
2023-07-26,10540551.285931293
2023-07-27,10433488.793070257
2023-07-28,10507416.131181836
2023-07-31,10594784.19297314
2023-08-01,10546198.51758598
2023-08-02,10486467.753798239
2023-08-03,10454920.977583982
2023-08-04,10418279.774588862
2023-08-07,10458638.11353258
2023-08-08,10419453.009883069
2023-08-09,10335999.085725524
2023-08-10,10335705.810492342
2023-08-11,10319643.301980488
2023-08-14,10366162.95368043
2023-08-15,10330980.946705094
2023-08-16,10304259.773931893
2023-08-17,10262846.823047498
2023-08-18,10291436.938146804
2023-08-21,10318827.56388135
2023-08-22,10304264.807352811
2023-08-23,10371494.858397918
2023-08-24,10276171.212405507
2023-08-25,10305574.274946379
2023-08-28,10338571.086258573
2023-08-29,10418888.843143024
2023-08-30,10472151.66322577
2023-08-31,10471915.413126787
2023-09-01,10471910.553909156
2023-09-05,10477754.195042355
2023-09-06,10471206.274048014
2023-09-07,10480848.369198907
2023-09-08,10501888.284820456
2023-09-11,10549498.386846581
2023-09-12,10445492.979930574
2023-09-13,10460960.348477427
2023-09-14,10511499.887654467
2023-09-15,10458600.11431344
2023-09-18,10448043.50886461
2023-09-19,10450183.410404317
2023-09-20,10403920.327369325
2023-09-21,10279777.91468309
2023-09-22,10276507.230916843
2023-09-25,10286061.205216825
2023-09-26,10215792.390587937
2023-09-27,10229849.624232408
2023-09-28,10304135.686287932
2023-09-29,10270505.813521322
2023-10-02,10250271.156481657
2023-10-03,10220888.462213814
2023-10-04,10210047.52445903
2023-10-05,10143212.430696076
2023-10-06,10173381.251209345
2023-10-09,10251402.748464217
2023-10-10,10267177.025861988
2023-10-11,10277631.098461868
2023-10-12,10277091.767715821
2023-10-13,10298617.677060198
2023-10-16,10319652.531615859
2023-10-17,10339624.270214653
2023-10-18,10316605.138237087
2023-10-19,10290103.050711133
2023-10-20,10243804.638009459
2023-10-23,10245366.421309058
2023-10-24,10242796.929788008
2023-10-25,10200615.44731873
2023-10-26,10099849.027891243
2023-10-27,10106412.728502003
2023-10-30,10126679.745416803
2023-10-31,10149159.541179406
2023-11-01,10164057.060703352
2023-11-02,10237364.631510802
2023-11-03,10240355.762969866
2023-11-06,10209289.815039117
2023-11-07,10172493.422393842
2023-11-08,10152062.448016403
2023-11-09,10115644.005598366
2023-11-10,10161633.494817486
2023-11-13,10179151.498743773
2023-11-14,10210764.711859643
2023-11-15,10220350.815902052
2023-11-16,10131970.679902669
2023-11-17,10154615.169058645
2023-11-20,10175428.72877152
2023-11-21,10158693.342206001
2023-11-22,10153274.322569067
2023-11-24,10168424.902069027
2023-11-27,10157442.03262319
2023-11-28,10170038.53125642
2023-11-29,10144994.774954474
2023-11-30,10135464.242688855
2023-12-01,10164590.26888467
2023-12-04,10160645.974277887
2023-12-05,10119347.641730998
2023-12-06,10090608.738735579
2023-12-07,10112835.565695083
2023-12-08,10115870.449340113
2023-12-11,10119402.803842042
2023-12-12,10100241.840673877
2023-12-13,10152414.772690132
2023-12-14,10224584.48539101
2023-12-15,10228368.508167662
2023-12-18,10267282.327995436
2023-12-19,10294699.504725542
2023-12-20,10267489.38459636
2023-12-21,10282379.465108488
2023-12-22,10290094.487333912
2023-12-26,10306407.380495494
2023-12-27,10302841.367994832
2023-12-28,10287916.104128668
2023-12-29,10281079.447824651
2024-01-02,10130412.162969166
2024-01-03,10065275.863692872
2024-01-04,10089731.333214581
2024-01-05,10111839.61067077
2024-01-08,10220200.070671985
2024-01-09,10159219.311626751
2024-01-10,10177808.479260433
2024-01-11,10128896.02900345
2024-01-12,10084382.381468162
2024-01-16,9997293.144671338
2024-01-17,9968428.465580814
2024-01-18,9986123.757533869
2024-01-19,10046258.853400748
2024-01-22,10082407.244641248
2024-01-23,10094796.617542034
2024-01-24,10089406.724358717
2024-01-25,10096132.54567901
2024-01-26,10066968.151779423
2024-01-29,10195631.220543813
2024-01-30,10190846.434430469
2024-01-31,10110920.248523578
2024-02-01,10158477.027544158
2024-02-02,10223883.166327348
2024-02-05,10119091.992837317
2024-02-06,10159274.793870218
2024-02-07,9989950.047110166
2024-02-08,9995057.517858326
2024-02-09,10056572.759944368
2024-02-12,10103161.136367096
2024-02-13,9972630.790162215
2024-02-14,10117957.116205873
2024-02-15,10189586.013202826
2024-02-16,10191353.076814758
2024-02-20,10157099.939520428
2024-02-21,10091187.669905528
2024-02-22,10163117.297105266
2024-02-23,10170609.232492972
2024-02-26,10258930.681823257
2024-02-27,10280269.618832074
2024-02-28,10284549.27327597
2024-02-29,10346338.873175008
2024-03-01,10416812.381842922
2024-03-04,10532021.740161054
2024-03-05,10470855.109579362
2024-03-06,10538429.24722201
2024-03-07,10652576.712004606
2024-03-08,10675801.05200602
2024-03-11,10634495.329836305
2024-03-12,10671928.076660614
2024-03-13,10665314.399043836
2024-03-14,10590845.07872753
2024-03-15,10585327.273981992
2024-03-18,10587681.299941083
2024-03-19,10558070.891237475
2024-03-20,10732245.145073421
2024-03-21,10788164.473517047
2024-03-22,10765600.896067472
2024-03-25,10813137.629871719
2024-03-26,10807814.879330454
2024-03-27,10840698.128280692
2024-03-28,10887305.435336055
2024-04-01,10866543.574392982
2024-04-02,10867033.031426644
2024-04-03,10872351.282772869
2024-04-04,10799846.507432338
2024-04-05,10888064.07101498
2024-04-08,10884252.906759607
2024-04-09,10820251.606195064
2024-04-10,10863053.870080218
2024-04-11,10881797.115754277
2024-04-12,10768966.442188334
2024-04-15,10681555.51371137
2024-04-16,10649435.559711833
2024-04-17,10599382.071516927
2024-04-18,10627899.251403365
2024-04-19,10535350.857304327
2024-04-22,10616820.413021784
2024-04-23,10742837.668823736
2024-04-24,10686351.319191432
2024-04-25,10778544.571977977
2024-04-26,10879978.929583672
2024-04-29,10936010.823613714
2024-04-30,10772515.642250022
2024-05-01,10684440.013354322
2024-05-02,10745965.990122812
2024-05-03,10815330.539310545
2024-05-06,10953997.91347806
2024-05-07,10964706.508729775
2024-05-08,10976342.058237664
2024-05-09,11062187.322066173
2024-05-10,11080266.61584596
2024-05-13,11105767.653611857
