,equal_weight
2021-04-01,10192825.593195198
2021-04-05,10273236.959979748
2021-04-06,10330599.858725639
2021-04-07,10309047.819662584
2021-04-08,10407193.756278178
2021-04-09,10422374.06630084
2021-04-12,10336070.408459088
2021-04-13,10427385.999907184
2021-04-14,10306380.26440768
2021-04-15,10338024.478599261
2021-04-16,10313707.974651488
2021-04-19,10166100.368865896
2021-04-20,9994081.255231595
2021-04-21,10151976.395369777
2021-04-22,10044247.422313573
2021-04-23,10224906.885748079
2021-04-26,10351280.52818462
2021-04-27,10323377.777094929
2021-04-28,10339819.365841994
2021-04-29,10336829.491412831
2021-04-30,10256267.205986293
2021-05-03,10171032.766169345
2021-05-04,10009392.34007717
2021-05-05,9969769.635967227
2021-05-06,9910370.25582783
2021-05-07,9990916.223795444
2021-05-10,9709573.086598422
2021-05-11,9762394.880228207
2021-05-12,9490964.571870781
2021-05-13,9458587.794074941
2021-05-14,9775343.94296042
2021-05-17,9781832.694065558
2021-05-18,9807035.113752196
2021-05-19,9776595.736689063
2021-05-20,9908487.247220539
2021-05-21,9881458.018482566
2021-05-24,10037467.015638124
2021-05-25,10036247.458211688
2021-05-26,10160356.351529798
2021-05-27,10210268.768936686
2021-05-28,10239703.3949909
2021-06-01,10313798.85310341
2021-06-02,10366429.605917715
2021-06-03,10219523.403433751
2021-06-04,10380899.074789638
2021-06-07,10464166.352703536
2021-06-08,10445575.074325949
2021-06-09,10382312.750901252
2021-06-10,10408224.897160918
2021-06-11,10466022.423035635
2021-06-14,10487524.976282451
2021-06-15,10408509.66531197
2021-06-16,10385289.7835717
2021-06-17,10458785.336060278
2021-06-18,10366127.359286508
2021-06-21,10417566.70643354
2021-06-22,10511202.835284978
2021-06-23,10574797.570352597
2021-06-24,10656991.913507566
2021-06-25,10720606.784966186
2021-06-28,10807663.54945977
2021-06-29,10801155.517049028
2021-06-30,10821871.56220892
2021-07-01,10782888.594083553
2021-07-02,10805808.97041673
2021-07-06,10770903.94977161
2021-07-07,10616817.396397954
2021-07-08,10498228.015047103
2021-07-09,10669483.096316975
2021-07-12,10688396.854547948
2021-07-13,10603867.951446876
2021-07-14,10515783.131901793
2021-07-15,10449802.283952722
2021-07-16,10314500.367021162
2021-07-19,10213389.82620696
2021-07-20,10409701.746779656
2021-07-21,10605209.589870535
2021-07-22,10612919.062917424
2021-07-23,10670112.995277328
2021-07-26,10698103.675295977
2021-07-27,10542536.482951177
2021-07-28,10708620.358177748
2021-07-29,10708597.122987134
2021-07-30,10579997.119988173
2021-08-02,10614034.822861237
2021-08-03,10660789.923248325
2021-08-04,10672034.94472063
2021-08-05,10796496.554773254
2021-08-06,10780586.889215853
2021-08-09,10838741.550491884
2021-08-10,10835132.431502637
2021-08-11,10799190.028155046
2021-08-12,10814000.697784834
2021-08-13,10774989.147577668
2021-08-16,10670234.249584788
2021-08-17,10549672.155043319
2021-08-18,10489295.95070552
2021-08-19,10368252.875052065
2021-08-20,10436863.505831892
2021-08-23,10657549.058336252
2021-08-24,10784676.176362064
2021-08-25,10853379.92530269
2021-08-26,10781771.446193011
2021-08-27,10894625.83303279
2021-08-30,10896882.235149954
2021-08-31,10880764.423103612
2021-09-01,10896883.873363165
2021-09-02,10942525.074972767
2021-09-03,10946851.35633607
2021-09-07,10975273.628389666
2021-09-08,10809827.39085601
2021-09-09,10836082.921726435
2021-09-10,10737154.66760056
2021-09-13,10747507.134607198
2021-09-14,10644190.673051864
2021-09-15,10712520.478990268
2021-09-16,10740598.718360335
2021-09-17,10725501.11398432
2021-09-20,10466211.210142752
2021-09-21,10497708.029821856
2021-09-22,10654275.653167235
2021-09-23,10839941.573670039
2021-09-24,10836259.271696046
2021-09-27,10869477.373684974
2021-09-28,10579262.494831275
2021-09-29,10484072.713311503
2021-09-30,10446817.498596866
2021-10-01,10586268.014084518
2021-10-04,10364304.83281101
2021-10-05,10488121.44362302
2021-10-06,10520919.911254475
2021-10-07,10668649.777118035
2021-10-08,10635478.91195449
2021-10-11,10545269.875992443
2021-10-12,10555074.066572532
2021-10-13,10640682.37613438
2021-10-14,10776096.076321544
2021-10-15,10850544.503999073
2021-10-18,10919561.295377094
2021-10-19,11018081.117620379
2021-10-20,11028564.303611148
2021-10-21,11070528.456636632
2021-10-22,10871569.246331545
2021-10-25,10975807.99516506
2021-10-26,10971717.225524435
2021-10-27,10857990.83634017
2021-10-28,11019173.155784067
2021-10-29,11042334.502776144
2021-11-01,11203342.95923272
2021-11-02,11163796.15102861
2021-11-03,11272171.891919712
2021-11-04,11322385.717275897
2021-11-05,11374388.314685563
2021-11-08,11514271.083128178
2021-11-09,11398963.827956228
2021-11-10,11187428.591526983
2021-11-11,11291011.175251568
2021-11-12,11379707.56661186
2021-11-15,11399484.564199327
2021-11-16,11434780.103782784
2021-11-17,11322391.922946282
2021-11-18,11257482.651339492
2021-11-19,11230717.04925508
2021-11-22,11131417.981513692
2021-11-23,11065854.367343003
2021-11-24,11117972.087805122
2021-11-26,10874554.25711953
2021-11-29,10951624.362582862
2021-11-30,10702383.146297323
2021-12-01,10369494.383473886
2021-12-02,10546420.080753595
2021-12-03,10177705.34453295
2021-12-06,10345834.901663337
2021-12-07,10578177.161383873
2021-12-08,10695345.253680544
2021-12-09,10514148.338171327
2021-12-10,10488494.338010004
2021-12-13,10276831.269669406
