gamma,lambda,vol,finalV,err
0.0,0.0001,0.3508692259120155,13003307.688568324,0.20086922591201553
0.0,0.0003727593720314938,0.35057351018420585,12954705.817848934,0.20057351018420586
0.0,0.0013894954943731374,0.3496821188463039,13045494.727533001,0.1996821188463039
0.0,0.005179474679231213,0.345073689098001,13116876.041315766,0.19507368909800102
0.0,0.019306977288832496,0.32740950967708715,12542216.937952818,0.17740950967708716
0.0,0.07196856730011514,0.22234887640812173,15912890.095232228,0.07234887640812174
0.0,0.2682695795279725,0.07233787359564257,13612698.439755125,0.07766212640435742
0.0,1.0,0.01981163569342794,12343345.209830588,0.13018836430657205
10.0,0.0001,0.29773139457461645,15261090.615124755,0.14773139457461645
10.0,0.0003727593720314938,0.2973881395063401,15210454.830163637,0.14738813950634008
10.0,0.0013894954943731374,0.2962573816458052,15098525.87205899,0.14625738164580518
10.0,0.005179474679231213,0.2911982497812344,14585911.726564322,0.14119824978123438
10.0,0.019306977288832496,0.26934001161478743,14757975.718551647,0.11934001161478744
10.0,0.07196856730011514,0.16285130335682613,14406712.690453893,0.012851303356826133
10.0,0.2682695795279725,0.05786527270818677,13179081.544222344,0.09213472729181323
10.0,1.0,0.01830022819005623,12301290.9693976,0.13169977180994377
20.0,0.0001,0.25942026093194176,15463007.166908106,0.10942026093194177
20.0,0.0003727593720314938,0.25887077469906866,15494375.30920251,0.10887077469906867
20.0,0.0013894954943731374,0.2576764126068849,15422140.268417079,0.1076764126068849
20.0,0.005179474679231213,0.25179067988682896,14728839.719720013,0.10179067988682897
20.0,0.019306977288832496,0.2316438991899529,13223384.051739369,0.0816438991899529
20.0,0.07196856730011514,0.13168649885973382,13363662.573021714,0.01831350114026617
20.0,0.2682695795279725,0.051081487179423776,12941306.078401156,0.09891851282057622
20.0,1.0,0.017246086703677346,12267295.178618228,0.13275391329632263
30.0,0.0001,0.23182462314584554,14425682.090456266,0.08182462314584554
30.0,0.0003727593720314938,0.23137422399636057,14381028.790246496,0.08137422399636057
30.0,0.0013894954943731374,0.22928701454518394,14174506.944807885,0.07928701454518394
30.0,0.005179474679231213,0.2242723782292986,13450918.138281373,0.07427237822929861
30.0,0.019306977288832496,0.2064037049251915,12071107.52155686,0.056403704925191506
30.0,0.07196856730011514,0.11321228952495517,12926384.61037231,0.036787710475044824
30.0,0.2682695795279725,0.046684399383363356,12752907.514366338,0.10331560061663664
30.0,1.0,0.016427919110519357,12240842.263225252,0.13357208088948064
40.0,0.0001,0.20989222559028664,13224688.939145429,0.059892225590286646
40.0,0.0003727593720314938,0.20979085881933937,13184142.288260946,0.059790858819339376
40.0,0.0013894954943731374,0.20928842650326526,13049461.58466946,0.05928842650326527
40.0,0.005179474679231213,0.20488302736533742,12579136.366888033,0.05488302736533743
40.0,0.019306977288832496,0.1827427915239508,11740373.811612528,0.03274279152395079
40.0,0.07196856730011514,0.10014695064360682,12686689.205944194,0.049853049356393175
40.0,0.2682695795279725,0.04321864288593175,12631515.295523774,0.10678135711406825
40.0,1.0,0.015756838598312655,12219807.369116146,0.13424316140168735
50.0,0.0001,0.19464895344933617,12439991.893704263,0.04464895344933617
50.0,0.0003727593720314938,0.1943904659659086,12414963.46252043,0.04439046596590859
50.0,0.0013894954943731374,0.1938165937004051,12249352.92445424,0.04381659370040511
