,equal_weight
2023-04-03,10043597.482818922
2023-04-04,9978545.991021726
2023-04-05,9872054.725607555
2023-04-06,9904063.171633182
2023-04-10,9964330.673074286
2023-04-11,10027645.44217626
2023-04-12,9884410.927776026
2023-04-13,10022663.076249223
2023-04-14,10018911.279602386
2023-04-17,10043606.95507067
2023-04-18,10040605.891585564
2023-04-19,9943564.855059698
2023-04-20,9757069.172813827
2023-04-21,9717300.458254911
2023-04-24,9703923.436725816
2023-04-25,9486412.568952825
2023-04-26,9442455.23291417
2023-04-27,9626113.017190507
2023-04-28,9705874.127927285
2023-05-01,9678291.565291736
2023-05-02,9493511.93165092
2023-05-03,9428143.318523323
2023-05-04,9390714.653414499
2023-05-05,9634471.449574957
2023-05-08,9723742.653181957
2023-05-09,9713945.543246698
2023-05-10,9733785.31618107
2023-05-11,9732806.8600821
2023-05-12,9618452.250255827
2023-05-15,9735446.076796833
2023-05-16,9615436.325956965
2023-05-17,9855510.639893968
2023-05-18,9991239.455785478
2023-05-19,9957863.057882441
2023-05-22,10040686.13249694
2023-05-23,9976759.370719511
2023-05-24,9883852.123711186
2023-05-25,9933664.194308246
2023-05-26,10131055.149873791
2023-05-30,10148514.753027283
2023-05-31,10087424.53273279
2023-06-01,10215238.157284984
2023-06-02,10366596.598487068
2023-06-05,10384320.266881527
2023-06-06,10452462.290922582
2023-06-07,10447153.468104055
2023-06-08,10516761.073936444
2023-06-09,10538354.727203682
2023-06-12,10672197.183428843
2023-06-13,10820533.618319843
2023-06-14,10881992.278030291
2023-06-15,11031272.3953472
2023-06-16,10982089.854434902
2023-06-20,10874285.654547537
2023-06-21,10756879.881067067
2023-06-22,10725253.538333058
2023-06-23,10626239.220198983
2023-06-26,10602680.68584166
2023-06-27,10837277.110448249
2023-06-28,10908456.802436043
2023-06-29,10947898.595396888
2023-06-30,11071046.50986497
2023-07-03,11225331.637775354
2023-07-05,11194714.927201448
2023-07-06,11004742.930063196
2023-07-07,11137448.778180337
2023-07-10,11211958.845820142
2023-07-11,11390069.167221352
2023-07-12,11500194.304393047
2023-07-13,11677053.133050276
2023-07-14,11512196.13600794
2023-07-17,11558106.90938275
2023-07-18,11678935.147495149
2023-07-19,11736535.68349775
2023-07-20,11552583.368959738
2023-07-21,11556489.033725124
2023-07-24,11675446.97742205
2023-07-25,11673530.310605295
2023-07-26,11695585.631187977
2023-07-27,11579702.46355138
2023-07-28,11774802.939424062
2023-07-31,11946114.371184222
2023-08-01,11826913.170671454
2023-08-02,11534698.82088008
2023-08-03,11543364.54970605
2023-08-04,11450672.461382411
2023-08-07,11511348.704022434
2023-08-08,11434082.436749563
2023-08-09,11280631.321186721
2023-08-10,11267607.769299066
2023-08-11,11210754.865447529
2023-08-14,11262125.014826473
2023-08-15,11044881.218018958
2023-08-16,10917908.676469654
2023-08-17,10859379.126459483
2023-08-18,10853750.923902769
2023-08-21,10948443.016392829
2023-08-22,10884613.28297548
2023-08-23,11013844.27434874
2023-08-24,10810618.321080735
2023-08-25,10886327.606703652
2023-08-28,10982818.750385493
2023-08-29,11242978.938018281
2023-08-30,11305005.234077908
2023-08-31,11277288.243980456
2023-09-01,11377222.44640866
2023-09-05,11383605.711327339
2023-09-06,11309995.071034702
2023-09-07,11225262.506343361
2023-09-08,11212123.5857129
2023-09-11,11265291.961259633
