,SPY
2023-04-03,10000000.0
2023-04-04,9944518.97137799
2023-04-05,9918481.960373288
2023-04-06,9957171.918230917
2023-04-10,9967392.16847159
2023-04-11,9970068.827382512
2023-04-12,9929431.019121334
2023-04-13,10061321.501444034
2023-04-14,10036744.416245548
2023-04-17,10072757.715192255
2023-04-18,10079327.766118808
2023-04-19,10077624.647611082
2023-04-20,10022630.773989247
2023-04-21,10030417.558020508
2023-04-24,10040881.770559845
2023-04-25,9881493.581829073
2023-04-26,9839639.810060343
2023-04-27,10035526.913543686
2023-04-28,10121182.307484696
2023-05-01,10110961.287646865
2023-05-02,9997323.341089077
2023-05-03,9928702.21061396
2023-05-04,9858376.422436804
2023-05-05,10040881.770559845
2023-05-08,10043557.659873612
2023-05-09,9999512.844999824
2023-05-10,10046233.549187377
2023-05-11,10028713.669915624
2023-05-12,10015574.337659674
2023-05-15,10050127.710800165
2023-05-16,9982965.73653411
2023-05-17,10104149.583213115
2023-05-18,10201484.383603856
2023-05-19,10186640.393645868
2023-05-22,10190776.978363007
2023-05-23,10076408.684103534
2023-05-24,10003405.467418296
2023-05-25,10090035.171359656
2023-05-26,10220708.150980493
2023-05-30,10224600.773398966
2023-05-31,10167903.781269405
2023-06-01,10264509.003555615
2023-06-02,10412945.055149715
2023-06-05,10392993.248862863
2023-06-06,10415624.02285211
2023-06-07,10379607.645516777
2023-06-08,10442389.072767027
2023-06-09,10461126.454740645
2023-06-12,10556029.328116285
2023-06-13,10625624.768591754
2023-06-14,10638277.715444684
2023-06-15,10770166.65857307
2023-06-16,10733480.731711429
2023-06-20,10677793.451051427
2023-06-21,10623084.328377564
2023-06-22,10661429.506709002
2023-06-23,10580829.596490206
2023-06-26,10537598.245811025
2023-06-27,10653125.553388456
2023-06-28,10658498.880736375
2023-06-29,10700508.111130754
2023-06-30,10826782.84300118
2023-07-03,10839238.003384842
2023-07-05,10823118.021341084
2023-07-06,10738366.904059172
2023-07-07,10711255.53542375
2023-07-10,10738366.904059172
2023-07-11,10806753.3074015
2023-07-12,10893704.702954352
2023-07-13,10980165.865118401
2023-07-14,10973327.994381325
2023-07-17,11011427.671219783
2023-07-18,11093250.47132054
2023-07-19,11117919.138580667
2023-07-20,11044157.099098949
2023-07-21,11044157.099098949
2023-07-24,11093495.20321636
2023-07-25,11123781.160123076
2023-07-26,11125489.6658109
2023-07-27,11051729.165523494
2023-07-28,11159928.368975045
2023-07-31,11181177.716068057
2023-08-01,11149181.714279206
